Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $
hydraulicsmanifoldsusa,,Other,0.5,0.0
kwcc,,Method was missing the following features,1.1,0.0
mediwestspecialtydistribution,,Other,1.5,0.0
haircouturedesigns1,,My schedule didn’t allow time to explore Method,1.9,0.0
sheeleyserviceinc,Other - please specify,"Field Service is not mobile friendly, looking for an alternative that is. Informed her it's being built for our New Version which is mobile friendly, but not available yet. Tried to win back by letting her know we can drop her to $25/month to access just the CRM, no luck.",0.0,0.0
sovereigndistribution,,Method was missing the following features,0.7,0.0
integratedfleetsolutions,,My schedule didn’t allow time to explore Method,1.1,0.0
pipefusion,Other - please specify,Signing up for a new account,1.1,0.0
BottlesbyUS1,Not using their Method Account,They do not want to use any CRM at the moment.,3.6,0.0
TestCompanyLLC1,Not using their Method Account,They do not want to use any CRM at the moment.,3.6,0.0
valleychemicalandsystemsllc,,My schedule didn’t allow time to explore Method,1.0,0.0
erunlimited,,Other,1.2,0.0
trojan,,Other,0.8,0.0
cpc20,Other - please specify,Started a new trial.,0.3,0.0
preventproducts1,Other - please specify,"Reply to subscription email: 
""No thank you,

Please remove from your mailing lists.

Garrett""",1.1,0.0
rouxbrands1,,I experienced technical issues with Method ,0.2,0.0
digitalresponsecomau,Other - please specify,Not using CRM,1.6,0.0
jrdsupplyinc,,Other,1.8,0.0
tctautomation,,Other,1.2,0.0
malarlighting,,Other,1.1,0.0
thunderammo,,Method was missing the following features,1.6,0.0
parkwarehousellc,,Other,0.1,0.0
mayajnyc,Other - please specify,mistakenly selected to sync with QBO when he needs to sync with QBD,0.0,0.0
tamaraspsindustrial,,Method was missing the following features,1.6,0.0
audioworksut,,Other,1.0,0.0
carlsonequipmentsoftware,,Method was missing the following features,1.8,0.0
attictuneupsystemsllc,,Other,1.0,0.0
hudsonhenrygranola,,Other,0.2,0.0
enlivenplanters2,,Other,0.2,0.0
axiomind,Other - please specify,Internal changes in their company. Will re-evaluate Method again once the new Sales Manager settles in her new position.,1.1,0.0
amazonenemywholesale,,Other,0.1,0.0
burlingtonmaterials,Other - please specify,"Customer request via chat.  """"we have decided on another system.thanks""""",0.9,0.0
llelect,,Method was difficult to use and learn,1.2,0.0
grobartyinc,,Other,1.1,0.0
tradedesigninc,,My schedule didn’t allow time to explore Method,0.0,0.0
proctorsurf,,Other,1.4,0.0
dermalactives1,,Method was difficult to use and learn,1.9,0.0
sundalefoodsinternationalinc,,Method was missing the following features,1.1,0.0
fayettetrailers,Other - please specify,Account has not been in use. 3 users but 0 added to any packs. Responded to say they are not using Method.,49.4,0.0
hemprootsdirect,,Method was difficult to use and learn,0.7,0.0
titaniumarcheryproductsllc,,Other,1.3,0.0
speedyweed2,,Other,1.1,0.0
sumigcorp,Other - please specify,"from customer: ""We are using sap anywhere. Please remove me, thanks.""",0.2,0.0
dmuscio,Other - please specify,No response after multiple follow-ups,1.8,0.0
atouchofnewhampshiregifts,,My schedule didn’t allow time to explore Method,1.5,0.0
realinc,Other - please specify,"Tested with a dupe QB file, created another account to set live. ",0.7,0.0
harrisondreamgaragellc,,Method was missing the following features,0.8,0.0
salesadminnssc,Other - please specify,Started new trial. Didnt have time in May to try out.,1.4,0.0
bloomspace,Other - please specify,too expensive,0.5,0.0
perfassociates,,Other,0.5,0.0
madmexican,Other - please specify,Other things going on in company right now,0.2,0.0
badmonkeypopcorn,Other - please specify,We just feel we dont need this at the moment. The app looks great.,1.0,0.0
pontegiuliousa,Other - please specify,Not as user friendly as what we needed especially in the note section.,1.0,0.0
chaseoffice,Other - please specify,Duplicate account. Keeping chaseoffice1 instead.,0.4,0.0
xmicrowave,Other - please specify,"Method does not support the new google interface.
The sync with quickbooks was nice but less useful than I had hoped.
Significant manual data entry was still required.",1.1,0.0
energex,,Other,1.8,0.0
owenspump,Other - please specify,"Richard: I needed something more like salesforce, so I went with salesforce for its customizability.
Phuong: Did you know that Method is entirely customizable? Would you share with me what you'd like to customize so I can show you how-to?
Richard: No thank you, I am set up with what I have now.
",1.1,0.0
roofdancers,Other - please specify,"Phone call with Kathryn.  Team not ready to implement CRM yet, may try at later date.",1.0,0.0
getitright,Other - please specify,"Spoke with Brian, said they'll be sticking with current process. Likes strong QB integration,  but more concerned with having a more user-friendly UI/better out-of-the-box CRM functionality.",1.0,0.0
iconicfurniture,,Other,0.1,0.0
thehairmovementold,Other - please specify,"You didn't let us down. it just wasn't the right time to trial METHOD for us. Will possibly look again in a few months.
Thanks",1.6,0.0
mlavie,,Other,1.0,0.0
quantumautomation1,Other - please specify,Duplicate account,0.5,0.0
quantumautomation,Other - please specify,Duplicate account,0.5,0.0
dopagus,Feature Gap,Customer has email hosted on exchange server so it's not compatible with outlook add on. ,1.0,0.0
vintage59,Tech Issue - Applications & Sync,QB crashed every time they tried to sync with Method. Spoke to us and Intuit but could not resolve issue.,0.6,0.0
countersandfloors,,Database to hard for us to do. Found a simpler method with zoho.,0.5,0.0
magic,Tech Issue - Applications & Sync,"Had problems signing in, problems resetting password.",1.0,0.0
zedsecurity,Other - please specify,Pricing,0.5,0.0
eyespyinnovations,,Other,0.2,0.0
fhp,Other - please specify,"Unfortunately my boss has put this project on the backburner for the time being and I will need to cancel this meeting.   I am very interested in Method and I look forward to scheduling a walkthrough as soon as I’m given the green light on this project.  """"",0.2,0.0
carterpanels,Other - please specify,"Was just testing it out, decided to not move forward past the trial.",1.1,0.0
milawholesale,Other - please specify,Customer requested cancellation on chat.,1.1,0.0
nellieshairemporiuminc2,Other - please specify,Customer will create new account due to import issues in this one.,0.2,0.0
foamsalesgroup,Other - please specify,We have chosen to stick with our current processes and will not need Method at this time. We appreciate your time with us and will let you know if we need anything from your services.,1.8,0.0
urologyhealthstore,,Other,0.1,0.0
contourclosures,,Other,1.1,0.0
tirag,Other - please specify,We just can't find time to do a demo. We would like to try again sometime later. Thanks.,1.7,0.0
lenovasinks1,Other - please specify,Duplicate account. Real account is lenova1,0.2,0.0
lenovasinks,Other - please specify,Duplicate account. Real account is lenova1,0.3,0.0
universalcoatings,Other - please specify,"I'm not using anything yet, but will be looking for something else. The main reason I am deleting the account and not subscribing is the fact you send me emails I didn't ask for.I cannot stand pushy companies emailing me daily to subscribe or sync or anything else and your email didn't have an unsubscribe link. Let me do what I need to do, when I want to do it. You just lost a customer, as I was thinking method was going to be a good fit, but now I'm looking elsewhere..",0.1,0.0
hillpharma,,Other,0.9,0.0
talbotsonmanufacturing,Other - please specify,Not what I need.  Thanks,0.1,0.0
tmarc,Non-payment,dup.,1.9,0.0
caliberfabrication,Other - please specify,"Does not have time to thoroughly use the CRM for now, but wants to re-evaluate during their slow season in the winter months.",0.7,0.0
efocusinc,Other - please specify,"It wasn't so much your service or platform; those were satisfactory to what we were using method for. Pricing was bit high per user in my opinion; also, I think if you packaged the service as one pricing and not become an add on, it would be more attractive. Primary reason we opted out is because we're a small business with small team members, we really didn't need Method as much as we thought we did.",1.0,0.0
monkeypakme1,Other - please specify,We switched and not using QBs anymore. Nothing to do with your platform.,1.5,0.0
nysscorp,Other - please specify,"We don’t need it, just delete the account.",1.1,0.0
tisomiukltd,Other - please specify,I was hoping that Method would fill some of the gaps with SOP in QBO. It would seem that this would involve a lot of development and customisation and that is something I do not have an appetite for right now.,1.7,0.0
warehousetransportgroup,Other - please specify,This account was created incorrectly. A new account will likely be created for the client as a referred account from the Partner. ,0.2,0.0
baero,,Other,1.6,0.0
fluidmanagementtechnologyllc,Other - please specify,"We are looking for something to replace Hubspot that does both CRM and marketing automation.  Method seems like a reasonable CRM, but doesn’t have marketing: campaigns, website tracking etc.",1.1,0.0
ventureyachting,Other - please specify,Non-payment,1.2,0.0
archion1,Other - please specify,Poorly imported data,0.3,0.0
deltakits,Other - please specify,You guys are great and did nothing wrong! This just wasn't the best option for the nature of our business,1.1,0.0
dmason1,Other - please specify,Test Account. New Account had been created. Merging this account and cancelling it. ,1.2,0.0
wfliii,,Other,1.0,0.0
milarfoods,Other - please specify,"We are a small business, just started. Your product is good, however we find it above our budget. Monthly charge once converted into AUD is quite high.

At this time we can’t afford it.",1.0,0.0
silverbackdistro,Other - please specify,Non-payment,1.5,0.0
RockyKandola,Other - please specify,not using QB anymore .. sorry .. assistant did this,0.0,0.0
abcmanufacturing,Other - please specify,non-payment,1.8,0.0
carfreightinc,,Other,1.5,0.0
californiadabcompany,Other - please specify,Connected to wrong QB file,0.5,0.0
pgc,,you didnt let me down. i was not aware that management had already gone a different direction.,1.2,0.0
pilgrimnorthamericainc,Other - please specify,"We decided to stick with Pipedrive - it's more in line with our budget and the way we work with our clients   Thank you for your support"""". Phuong offered new pricing but Robert is not interested.",0.8,0.0
advancedworld,Other - please specify,synced with too much quickbooks data ,0.2,0.0
supply5280,,Other,1.4,0.0
marcjosephnewyork,,My schedule didn’t allow time to explore Method,1.1,0.0
vaporchasers,,My schedule didn’t allow time to explore Method,1.0,0.0
agnetixinc,,Other,0.0,0.0
roboticyardsolutions,,My schedule didn’t allow time to explore Method,0.5,0.0
securityproductsinc,,It's a good App.  My company isn't quite ready for it.  Maybe in the future.,1.0,0.0
biggssafelock,,Other,0.6,0.0
jaysonnelson,,Other,1.4,0.0
tropitek,,I experienced technical issues with Method ,0.4,0.0
wsiconcrete,,Method was missing the following features,0.1,0.0
queenbeedistributionllc,Other - please specify,"We are winding down our business so not able to continue.""""",0.9,0.0
bevchek,,Other,0.7,0.0
beanthere1,Other - please specify,Customer wants to set up new account,0.4,0.0
tyt,,Method was missing the following features,0.5,0.0
fibermount,Other - please specify,No thank you. I appreciate the trial.,1.1,0.0
aaronbass,,Method was missing the following features,0.5,0.0
jormanfurniture,,My schedule didn’t allow time to explore Method,0.5,0.0
htconceptsptyltd,,Other,1.3,0.0
zingbars,,Other,1.6,0.0
hoptownhandles,,Other,1.1,0.0
floorsfreeinc,,Method was missing the following features,0.3,0.0
fertanllc,Other - please specify,Using a different CRM,1.4,0.0
abudayyehpharma,,My schedule didn’t allow time to explore Method,1.1,0.0
egoid,Other - please specify,duplicate account ,1.6,0.0
mriancecollagneinc,,Other,1.3,0.0
bergstromnutrition,,Method was difficult to use and learn,1.2,0.0
bethdenner,,My schedule didn’t allow time to explore Method,1.0,0.0
lectusdesign,,pricing and I'm already using another system,1.8,0.0
crawlspacediy,,Method was missing the following features,1.0,0.0
simplerthingsllc,Other - please specify,Went with another CRM that better fit his needs.,1.2,0.0
kafie1901,,Method was difficult to use and learn,0.0,0.0
perine,,cc,1.9,0.0
millertoolinc,Other - please specify,not interested now,1.3,0.0
safetymonitorslimited,,I want to see my invoices on the same page as the contact and not have to search different fields to be able to see the details.  Not what i am looking for.,0.0,0.0
tabithascloset,,Method was difficult to use and learn,1.7,0.0
puregrips,Other - please specify,Delete,1.5,0.0
yourlaundrysource,,"You didn't let us down, I don't feel the two people in our company would take advantage of all the really great features. ",0.8,0.0
imsmedical,Other - please specify,has QBO instead,1.2,0.0
dieselpowered,,Method was missing the following features,0.1,0.0
fwmsoftware,Feature Gap,needs custom fields from quickbooks we can't do. ,1.1,0.0
corinthian,,A little more complicated than we hoped,1.1,0.0
jubileeledlighting,Feature Gap,Needed email automation,0.0,0.0
industrialtimber,Other - please specify,"""We are not interested we went with a different CRM system, we decided to go with a company called RepBox""",0.8,0.0
designsourceinternationallc,,Other,0.6,0.0
lonesomecottage,,You didn't! We are simply setting up a new account per Method's recommendation.,1.8,0.0
magnalock,,Your services were not what I was looking for.,0.1,0.0
dupagevacuum1,Other - please specify,Customer requested over chat. ,0.8,0.0
healthylegsforlifeinchlfl2016,Other - please specify,Not interested in proceeding.,1.0,0.0
unacorp1,,I will come back later. I need to make a custom field to include my item images. Possible?,0.8,0.0
kellerdesignfloorsllc,,Method was difficult to use and learn,0.8,0.0
blackbird1,,Method was missing the following features,1.8,0.0
azco,Other - please specify,cost,1.0,0.0
mielemanufacturingofpa,Feature Gap,"Honestly, when this program was pitched to Lou, there were specific things that he was looking for that you guys said you could do (Track Commissions). When I had my 1 hour training session with Shadee the other day she told me that you guys cannot track commissions but for a small fee of $145.00 an hour you could build something for us. The rest of the training session was showing us things that really don’t differ too much from how we are operating right now for free (like using a calendar for reminders and sending messages). ",0.5,0.0
malabrigo,,My schedule didn’t allow time to explore Method,0.9,0.0
premiersportslighting,Other - please specify,"I am no longer interested.""""",1.2,0.0
biggssafelock1,,I experienced technical issues with Method ,0.1,0.0
LANSCOMPANY,Other - please specify,duplicate,1.0,0.0
Lenova1,Other - please specify,Not implementing a CRM. Going through growing pains but may back back in the future. ,0.9,0.0
amaxleather,Other - please specify,"Customer was testing with test file, created new account and synced with live file. ",0.4,0.0
atlantictowers1,Other - please specify,Customer said Method will not meet their needs.,0.9,0.0
rapidpurgeCo2,Other - please specify,wrong QBD,0.6,0.0
phelpscreekvineyards,Other - please specify,"I tried many times to sync with Quickbooks desktop, and it never did. Will try again in a year or so. Maybe meant for Quickbooks online?",1.0,0.0
mcco,,My schedule didn’t allow time to explore Method,1.0,0.0
rapidpurge,Other - please specify,Wrong QBD,0.9,0.0
vinoindiana1,Other - please specify,Customer said that Method does not fit their needs.,0.6,0.0
prolink,Other - please specify,Very time intensive to set up fields,0.1,0.0
beei1,,My schedule didn’t allow time to explore Method,1.0,0.0
PointNaturalsLLC,Other - please specify,No response to Hard Hold. QBOA Account. ,6.0,0.0
tampoprintmidwestcorporation,Other - please specify,Trial expired. No time to use it. Can't access any apps. Ready to learn now.,2.9,0.0
heinrichsusa,Other - please specify,"An Employee signed up for a trial without the owner's knowledge. Tina, the business owner will be signing up for an account in couple of weeks.",1.2,0.0
niluka,Other - please specify,Switched QB files. Moved to new Method account.,0.2,0.0
adart,,Method was missing the following features,1.1,0.0
ornamentalthings,,My schedule didn’t allow time to explore Method,1.1,0.0
oshelljanitorialsupplyllc,,Other,0.8,0.0
hinovisionsolutionsllc,,Method was missing the following features,0.0,0.0
greatlakesmalting,Other - please specify,"We have tested a few different CRM systems and decided to use a different provider (HubSpot), whose no-cost contact management system best fit our needs.",1.0,0.0
scandentgroupptyltd,Other - please specify,We  were trying your solution via your free trial. We will try other solutions to test the market.,0.1,0.0
interstatespecialties,Other - please specify,going to use that a different software instead. ,0.1,0.0
idc,,Other,0.7,0.0
fidm,Feature Gap,The program doesn’t integrate with our sales process and CC processing.,0.9,0.0
frontiertrailer,Other - please specify,Everything was great with Method. Just not the right timing for us as we're still a very small org. We will be back when we grow larger. Thank you.,1.0,0.0
stardomcorporate1,Other - please specify,putting project (getting a CRM) on hold.,0.9,0.0
luxlukdesignllc,Other - please specify,Too low value added in relation to Quick Books. It doesn't worthwhile the price.,1.0,0.0
MetalEarth19,Other - please specify,User will create a different new account.,0.0,0.0
niluka1,Other - please specify," trial account has expired and I want to cancel this account. we just have to have a few discussions internally, budget approval, then we will set up a new corporate account and be good to go",1.3,0.0
worldwidepackaging,,Other,1.7,0.0
prostack0,Other - please specify,duplicate by accident,1.1,0.0
gandalphs,Other - please specify,"Par for the course, I try to let you know what the problems were... and I get another problem.

Action Execution Error
String or binary data would be truncated.
The statement has  been terminated.

You guys suck.",0.1,0.0
discountwatersupply,,Method was difficult to use and learn,0.4,0.0
healthbestinternational,Other - please specify,I don't like the workflow,1.9,0.0
bluecomm,Other - please specify,nothing you did.  just wasn't the solution we were looking for.,2.6,0.0
DALBILE,Other - please specify,"I was evaluating, but, Zoho has more features. It is simple, and easy, and no cost up to 3 users",0.7,0.0
riverviewproduce,Other - please specify,great product but not a fit for our company.,1.3,0.0
pdquipment,Other - please specify,Not moving forward with Method:CRM at this time. ,1.6,0.0
radius,,My schedule didn’t allow time to explore Method,1.5,0.0
framuswarwickusaCo1,Other - please specify,"The sales people found the program too time consuming because we are company based, not person based.  Items were not connected in a logical way for us to use it properly.  We found a CRM that is more user friendly. ",1.0,0.0
baroquecountertops,Other - please specify,No time for setup.,1.2,0.0
linzhi,Other - please specify,"No reason given, even after being asked for one. ",1.3,0.0
theoilbarnllc,Other - please specify,"Being a small company we do not have the need for a robust tool like this. I would probably be the only one using it. Also, it's not expensive, but the cost is a consideration. I can use a different tool that is free to do the same kind of thing, with less automation, but entering new customers in Quickbooks is not a time-suck for me. 

Finally, the user interface was a little clunky and not easy to follow what I need to do next. I like visual management, so kanban boards and nice dashboards to sum up activities and opportunities. Also, I wish I could track existing customer reorders in the tool.
",1.4,0.0
scitgroup,Other - please specify,We have tested and we find it Quite Expensive for us ,1.0,0.0
texasfloors,Other - please specify,I am not quite ready for this step.  I'll be back....,0.2,0.0
thompsonfabco,Other - please specify,"The sync feature is nice, when it was working. I don't like that you have to remain logged in to QuickBooks with the Admin account 24/7.

The reports could be more robust.

When creating an Estimate, the drop down and features are cluncky.

Adding Opportunities is just another unnecessary step for us, but is the only way in your system to track a close rate per sales person.
",1.0,0.0
amglobal,,My schedule didn’t allow time to explore Method,1.5,0.0
sigikid,,Method was difficult to use and learn,1.0,0.0
shirtworks1,,My schedule didn’t allow time to explore Method,0.3,0.0
colorsceneinc,,Other,1.1,0.0
highpuritynatural,Other - please specify,Had to start a new trial to connect live QBO file instead of a test one. ,1.0,0.0
barsupplycom,Other - please specify,dup. synced the wrong qb file ,0.5,0.0
bridgetolife,Other - please specify,Keeping other account,1.0,0.0
digi3d,Other - please specify,"after 2 years your email solution is still lacking 
lacking dropbox integration still..",0.3,0.0
tivolidistributingco,,Method was missing the following features,0.5,0.0
whatic2gmailcom,,Other,1.6,0.0
gitchsportswear,Other - please specify,Started another active account,1.1,0.0
ellabcandlesCo1,Other - please specify,"Not ready to move forward at this time, might revisit again. ",1.3,0.0
monsoonpc,,My schedule didn’t allow time to explore Method,1.0,0.0
dustashes,,My schedule didn’t allow time to explore Method,0.9,0.0
pro2marketing,Other - please specify,dup account,1.6,0.0
arrowheadsigns3,Other - please specify,"I found another imbedded big commerce app that will do fine for what I need at $12 (I’m a one man operation and don’t need to communicate with teams). Work from my desk all day, no need for an app either. The form is nice but not for $49. ",0.2,0.0
forminsoles,Other - please specify,Per request from Customer,1.1,0.0
atlasenergy11,,Other,0.9,0.0
irtronix1,Other - please specify,keep irtcrm,1.5,0.0
inducon,Other - please specify,"I think Method is great CRM really
What a pitty it is expensive for my small company
Sorry I have to go...",0.8,0.0
iceasap,Other - please specify,We went with Scoro because off the advances project management. ,1.0,0.0
signofoodingredients,Other - please specify,At this time we have decided to to implement a CRM.  We will review again next year. ,1.1,0.0
europrotection,Other - please specify,"I m not i nterested in taking the order from CRM, only to manage customer information and sales stat. thank you for the trial",1.1,0.0
abcustomdesignllc,,Method was difficult to use and learn,0.2,0.0
voltairesys,Non-payment,Dup account. Kept voltairesystems,2.2,0.0
fruitionmarketing1,Other - please specify,duplicate account,0.5,0.0
ihfltd,,Method was difficult to use and learn,0.5,0.0
vincausa,,My schedule didn’t allow time to explore Method,1.0,0.0
gaylordforestproductslimited,,Other,1.1,0.0
soapequipment,Other - please specify,test file. keeping account willowway,0.7,0.0
dublinautomationandcontrols,,Other,0.0,0.0
bmigaming,,Method was difficult to use and learn,0.1,0.0
swissinv,Other - please specify,"Method looks great from a purely CRM stand point but I'm looking for a solution more in-between that and the ERP functionality that QuickBooks offers me. I suspect I'm in the market for a more project management based extension. """"",0.3,0.0
dakotaplumbingproducts,Other - please specify,duplicate account - dakotasinks,1.0,0.0
phynyx,Other - please specify,No response.,1.3,0.0
karamacshoecandy,Other - please specify,Hasn't had time to try out Method,1.0,0.0
testlightingsupplyguy,,"Adding more to Gordon's cancellation:

 Here are the 11/8/2018 confirmations from both accounts, attached. I’m not sending them to rub it in, rather that there must be some problem with your billing system and thought you’d like to know.

 

Aside from being frustrated by the recurring problems and expense with multi-tenancy, I am a big fan of Method, pitching it to some fellow business owners as recently as Friday! We’re now on NetSuite, which has a built in CRM we’re using. 

Trying to get him to become a partner :)",1.4,0.0
helicalwire,Other - please specify,We have decided at this time not to proceed with e-commerce.,1.8,0.0
galabeautytradingcorp,Other - please specify,No reason given,1.0,0.0
abmgchi,,Method was missing the following features,0.2,0.0
solanapanels,Other - please specify,Keeping the other one instead. ,0.8,0.0
Monode,Other - please specify,CRM project put on hold. Will revisit again later.,0.9,0.0
dizpotllc,,My schedule didn’t allow time to explore Method,1.2,0.0
steinservicesupply,Difficult UI,Chosen another CRM that is more user friendly for the sales team.,0.6,0.0
oximedical,Other - please specify,^ marked as exception,1.1,0.0
tannencpa,Other - please specify,Please delete my account as this was a trial period and we were not sure if we were going to use it now. At this time we have not made a decision.,1.4,0.0
afterinked,Other - please specify,Customer said it does Method does not work for their business model.,0.3,0.0
diversifiedairsystems,,Other,0.8,0.0
interiorfusion,Other - please specify,We are just not ready to make the move right now. We will re-look this issue in the fall of 2019,1.0,0.0
dublinautomationandcontrols1,,My schedule didn’t allow time to explore Method,0.9,0.0
shimaseikiusa,Other - please specify,To integrate with Quickbook but decided that was unnecessary.  ,1.1,0.0
TanisTechnologiesllc,Other - please specify,Connected to test QB file. Setting up new Method account now.,0.0,0.0
benesserecapital,Other - please specify,Dupe account,0.1,0.0
copycatprintshop,Other - please specify,Dupe account,1.2,0.0
proanalyticsllc,Other - please specify,Created new account to start fresh,2.0,0.0
bigbrandwater,Other - please specify,I did the trial but I need an shipping/order management package not a sales CRM package.,1.1,0.0
heinrichsusa1,Other - please specify,"An Employee signed up for a trial without the owner's knowledge. Tina, the business owner will be signing up for an account in couple of weeks.",0.7,0.0
nadalie1,Other - please specify,"We're not ready as a company to implement. We like the product, so will subscribe later in 2019.",1.0,0.0
advanergo,Other - please specify,We may not stay with Quickbooks more than a few years so we did not want to use a CRM that is tied to it. ,1.0,0.0
boomsap,Other - please specify,"Im looking for something more simplistic, simply point and click of what has been done or needs done. It takes to much time to input what im doing and its not intuitive on the steps. it will take to long to teach everyone involved.",0.0,0.0
ambersouveniraustraliaptyltd,Other - please specify,Customer never used the app and requested to cancel account. ,1.1,0.0
seattlegarment,,Other,1.6,0.0
atlaspetroleum,,I experienced technical issues with Method ,0.1,0.0
truckit365,,Other,1.6,0.0
newsouthbotanicals,Other - please specify,We've gone with Agile,1.2,0.0
centavicclothing,Other - please specify,"The program seems like it would be suitable for what I’m after eventually but we’re not at a stage to utilise it yet.

We currently use industry specific software (shopvox) to track work etc, but am looking for something to integrate for marketing & customer contact.

I will definitely keep it in mind when we are ready to go.",1.3,0.0
creativetrafficsolutions,,Other,1.2,0.0
dsweets,Other - please specify,It’s the busy season and I am just trying to keep up with what I already have.  I did like just the ability to set up for potential customers.  I will be better able to evaluate my needs in January.,1.3,0.0
indeelift,Other - please specify,"I am not sure Method is not the answer for us, but we are not ready for it just yet. I will be in touch.",1.5,0.0
theatrehouse,Feature Gap,"We're trying another CRM in particular because it has some integration with Alexa. Why that matters specifically in our use case is as follows... The primary person using this software is visually impaired and your software isn't keenly designed for ADA/Accessibility.
Having an option for voice integration is something that could make this person a great deal more effective.",0.9,0.0
naturalselectionproducts,Other - please specify,Not interested now,1.6,0.0
averaproducts,Other - please specify," Changing our whole ERP from Quickbooks to something else, so we won't be needing method anymore. 
Thank you for checking in though!
",1.1,0.0
harpethriverbrands,Other - please specify,Spoke to Alana on the phone. Not ready to continue  with Method at this time.,1.7,0.0
environmentalequipment,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
environmentalequipment2",0.0,
masterchefpr,Other - please specify,Actual account: masterchefpr2,0.0,
manexusa4,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
manexusa3",0.0,
hyfloequipmentcompany2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
hyfloequipmentcompany3",0.1,
hyfloequipmentcompany,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
hyfloequipmentcompany3",0.1,
bcfluidpowerofflorence,Other - please specify,Connected to the wrong QuickBooks Online account. A new account was created and connected to the correct QuickBooks Desktop file. The customer requested to cancel the online account.,0.0,
norwooddeviceanddiagnostics2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
norwooddeviceanddiagnostics",0.0,
keeplifetasty,Other - please specify,the surprising cost is way too high,0.0,
simaaquapropisicnesetspas,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
simaaquapropisicnesetspas2",0.1,
bcfluidpower,Other - please specify,The customer was confused and created multiple accounts. Their active account is bcfluidpowerofflorence2.,0.1,
gsinks2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
gsinks",0.2,
furniturepro,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
furnitureprocorp",0.1,
methodtestpartner,Other - please specify,"Conversion Exception Reason: 
Internal Account
Other Account:",0.5,
gorillahammers5,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
gorillahammers4",0.3,
thahookup4,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
thahookup5",0.1,
gorillahammers3,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
gorillahammers4",0.4,
haywirellc,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
haywirellc2",0.2,
cartersstoneworks,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
carterscabinetry",0.1,
industrialodorcontrol,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
industrialodorcontrol2",0.0,
handrroofingsupplyinc,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
hrroofingsupply",0.0,
texastestplugs,Other - please specify,Great product but does not fit our business needs.,0.0,
cashionrods,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
cashionfishingrods2",0.0,
cammillwork,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
cammillwork2",0.0,
makejtech2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
makej",0.0,
mesoesteticusa,Other - please specify,Original account: dgcosmetics,0.0,
nuewalinc,Other - please specify,Duplicate account: nuewal,0.0,
wt3,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
wt2",0.0,
rillfoods3,Other - please specify,Spammer,0.0,
golfinviteinc,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
golfinvite2",0.0,
flipoffice3,Other - please specify,"Conversion Exception Reason: 
Wrong Accounting Version Selected
Other Account:
flipoffice2",0.1,
flipoffice2,Other - please specify,"Conversion Exception Reason: 
Wrong Accounting Version Selected
Other Account:
flipoffice2",0.0,
rcp2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
rcp3",0.0,
qolinc,Other - please specify,"Conversion Exception Reason: 
Wrong Accounting Version Selected
Other Account:
flipoffice2",0.0,
containerone12,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
containerone2",0.0,
containerone10,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
containerone1",0.0,
allanchemicals2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
allanchem",0.0,
midwestsidewallsllc3,Other - please specify,Spammer,0.0,
midwestsidewallsllc2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
midwestsidewalls2",0.0,
raicescubanascigarsusainc,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
raicescubanas",0.0,
bourneinternational,Other - please specify,the inventory management portion of the platform (main feature i'm looking for) is not sufficient for what I am doing.,0.0,
truesourcetimber,Other - please specify,Signed up out of curiosity. Not what hes looking for.,0.0,
redstonetechnical2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
redstonetechnical",0.0,
snakeriverseedcooperativeinc,Other - please specify,The pricing is too expensive for us.,0.0,
nediaenterprises,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
nedia",0.0,
